70	70	64
105	70	69
66	105	84
65	84	63
70	70	47
44	60	61
111	84	110
44	66	60
44	60	67
70	77	76
84	91	64
44	77	77
70	84	65
66	111	92
60	44	58
55	111	110
105	51	79
49	51	48
111	51	109
105	40	79
111	109	109
53	48	35
111	53	80
86	53	86
105	70	75
111	48	96
78	53	78
51	66	66
53	48	34
53	53	40
49	111	95
55	51	42
89	55	89
53	51	45
40	51	36
60	48	51
55	70	48
53	63	47
63	60	68
54	63	54
53	53	49
62	40	59
53	63	45
63	49	44
62	63	49
62	91	64
84	60	86
62	31	62
105	49	71
60	63	69
60	49	53
62	96	96
89	31	89
72	84	67
49	84	38
74	49	39
63	63	63
43	63	51
72	63	58
37	37	37
58	111	111
111	49	88
49	61	47
37	37	36
37	61	39
37	37	40
60	61	54
37	46	41
37	111	104
58	61	54
61	31	40
46	31	43
31	37	30
72	91	72
61	61	58
37	37	35
37	91	65
61	61	62
37	61	39
37	73	73
105	49	61
63	111	98
46	63	54
46	66	64
46	66	66
66	63	47
46	105	90
115	63	115
66	115	115
105	63	73
63	105	80
66	66	56
46	77	50
66	49	38
91	73	73
78	67	67
46	47	38
63	63	64
105	63	76
89	46	89
66	46	57
77	111	92
63	78	51
49	49	54
74	49	48
105	78	90
55	49	47
111	78	105
70	78	58
95	105	93
74	138	53
95	95	84
60	78	66
138	95	100
78	49	45
138	49	37
138	95	96
78	78	71
49	49	45
70	80	80
95	74	45
138	49	39
65	55	65
78	78	74
78	91	60
64	70	53
36	60	43
91	64	81
64	64	58
55	67	58
64	77	65
64	106	54
70	64	47
64	106	65
48	122	48
106	49	81
77	49	47
64	64	54
67	48	48
106	67	56
55	77	38
67	64	55
67	105	78
64	77	58
106	63	63
77	64	61
63	64	63
83	55	67
102	94	84
83	91	64
83	106	51
83	79	79
55	83	55
36	60	52
83	91	71
36	55	44
83	94	74
94	102	87
102	106	60
102	94	89
91	55	72
49	101	101
55	94	94
83	92	92
102	55	92
105	55	80
118	55	118
91	103	103
86	49	86
91	70	73
45	45	45
114	45	49
70	65	78
106	65	49
65	45	56
65	114	65
45	45	43
55	63	63
36	45	41
45	59	59
76	105	89
76	114	62
106	76	68
45	45	44
70	63	46
60	76	57
45	76	48
45	55	55
45	36	43
65	45	55
55	45	47
50	36	44
76	55	62
76	81	50
73	36	35
105	62	72
62	79	79
50	55	42
62	81	44
73	80	80
76	73	49
62	50	58
45	73	52
73	106	58
73	64	64
61	105	61
60	81	54
45	70	54
73	72	72
73	62	62
70	55	48
76	81	55
76	55	70
52	81	49
55	58	56
54	58	70
40	40	39
84	45	55
51	40	41
54	51	46
52	40	44
84	40	51
78	40	78
55	51	43
36	40	29
58	52	40
36	36	30
47	40	47
38	40	38
40	52	40
58	58	54
44	40	44
40	70	43
40	58	42
55	58	47
52	45	44
45	45	43
59	45	41
45	58	39
79	45	63
49	74	53
45	60	60
45	45	54
45	84	84
45	74	57
74	52	52
45	74	61
75	75	75
74	53	74
74	74	75
81	49	81
81	45	81
74	79	74
52	72	72
52	45	50
53	52	46
74	49	58
59	44	46
48	48	48
62	91	58
91	62	75
48	48	52
62	55	66
59	59	60
62	62	51
59	48	49
44	48	39
48	48	49
59	48	47
62	62	63
91	59	65
48	48	43
62	91	61
48	62	46
48	91	75
48	59	57
59	59	53
42	48	42
65	59	48
145	51	71
51	145	73
145	67	78
51	36	34
80	51	45
61	63	56
63	51	50
91	80	72
91	80	87
67	89	89
51	80	48
67	70	44
51	47	49
145	80	100
80	80	74
91	51	71
80	145	103
145	51	66
80	67	65
51	45	45
145	63	67
67	54	54
58	101	82
58	57	48
49	49	54
58	101	87
110	145	110
57	101	71
70	58	53
58	145	95
58	145	89
101	57	84
63	57	58
57	58	50
49	91	76
145	145	121
58	58	58
58	145	90
49	49	44
145	58	87
57	49	50
57	58	51
101	101	81
101	101	88
97	82	100
145	73	60
97	60	81
82	97	92
99	91	70
100	97	87
82	124	124
119	145	119
